listing_id,year_built,year_renovated,renovation_scope,num_floors,basement_area_sqm,basement_natural_light,num_suites,solar_orientation,view_type,floor_material,window_type,condominium_name,is_gated_community,condo_fee_eur,nearby_schools,transport_access,distance_beach_min,distance_center_min,has_golf,amenities_list,renovation_potential,expat_appeal,rental_income_eur,tenant_occupied,has_al_license,is_aru_zone,is_heritage_protected,enriched_at
33170714,,,,4,,,2,,,,,,,,,,5,15,,campo de ténis; zona multi-desportiva; casa de apoio à agricultura; cozinha exterior; pomar; poço; furo; ginásio; jardim de inverno; adega,,,,,,,,2026-07-16T17:10:18.618730
34320146,,,,,97.0,,3,Sul,,,,,,,,,,,,,,,,,,,,2026-07-16T17:10:20.811678
34300580,,,,2,,,1,,vistas do Palácio da Pena e Castelo dos Mouros,,,,,,Salesianos de Manique; Salesianos do Estoril; Colégio João de Deus; Tásis International School; Carlucci American International School,,10.0,10.0,,farmacia; restaurantes vegano; cozinha internacional; cafés; lavandaria; CTT; mercado municipal; mercearia; Templo de Meditação Kadampa Deuachen,,alto,,,,,,2026-07-16T17:10:23.479594
32929589,,,,3,,,4,poente,panorâmica para a Serra de Sintra,,,Beloura Residence,True,,TASIS (The American School of Switzerland); Carlucci American International School of Lisbon (CAISL),"Acesso à A16 / A5 em 4 min. A 10 minutos do centro histórico de Sintra, de Cascais e a 20 minutos de Lisboa e do Aeroporto Humberto Delgado.",,,True,Piscina de adultos; Piscina de crianças; Ginásio; Sauna; Banho Turco; Sala de jogos,,alto,,,,,,2026-07-16T17:10:26.571252
34589886,1957,,total,,,,,,,,,,,,Escola Secundária de Santa Maria,"estacionamento gratuito a 200 m, supermercados e serviços próximos",,,,Pingo Doce; Auchan; Mercado Municipal; Parque da Portela de Sintra; Miradouro da Correnteza; Campo de Golfe Oitavos Dunes; Hospital de Sintra; Aeroporto de Lisboa,alto,alto,,,,,,2026-07-16T17:10:29.586479
34792887,,,,,,,1,,,,,,,,,Ligações rápidas a Lisboa (IC19 / A16),,,,Garagem com zona de lavandaria; Jardim privado; Piscina exterior; Sistema de rega automática; Painéis fotovoltaicos; Bomba de calor; Ar condicionado em todas as divisões,,alto,,,,,,2026-07-16T17:10:32.187390
34733301,,,,2,,,,,serra e Palácio da Pena,,,,,,,fácil acesso a Lisboa e linha costeira; 10 min da A5,3,1,,,alto,alto,,,,,,2026-07-16T17:10:34.892740
34799823,,,,,,,,,mar,,,,,,,,,,,lareira; varanda; churrasqueira; cozinha equipada; despensa; roupeiro embutido,,alto,,,,,,2026-07-16T17:10:37.315738
35049341,,,,3,,,1,Sul/Sudoeste,desafogada,,,,True,,CAISL (Escola Americana); creche,acessos facilitados ao centro de Lisboa e ao Aeroporto Humberto Delgado,,,True,"piscina; jardim; sala de jogos; ginásio; sauna; campo de golfe; campos de ténis; padel; hipismo; ginásio Holmes Place; spa; supermercados Supercor, Lidl, Aldi; farmácia",alto,alto,,,,,,2026-07-16T17:10:40.397091
34991407,2021,,,2,,,1,,,,,,,,,,5,,,estores elétricos; aquecimento a gás e elétrico; jardim; piscina desmontável,alto,alto,,,,,,2026-07-16T17:10:42.795466
32438517,,,,,,,3,,vistas deslumbrantes,,,,,,,,,,,banheira de hidromassagem; terraço; escritório; sala multifunções; garagem; canil; jardins; casa de caseiros; cozinha equipada; área para cultura biológica,,alto,,,,,,2026-07-16T17:10:45.525186
34484040,,,,,,,2,Excelente exposição solar,,,,,True,,,"próximo de escolas, comércio, serviços e com ótimos acessos às principais vias da região (N9, A16 e A37)",,,,piscina; jardins; zonas comuns; dois lugares de estacionamento; arrecadação,,,,,,,,2026-07-16T17:10:48.102150
33705988,,,,2,,,,,vista mar,,,,True,,,fácil acesso,3.0,10.0,,Jardim; Logradouro; Poço; Cozinha equipada; Placa a gás; Esquentador,alto,,,,,,,2026-07-16T17:10:50.637791
34293813,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-16T17:10:52.932365
34875211,,,,,,,4,sul,vista para a piscina,,,Quinta da Beloura,True,,escolas internacionais,acessos rápidos a Lisboa e Cascais,,,True,piscina; ginásio; 3 lugares de garagem; arrecadação,,alto,,,,,,2026-07-16T17:10:55.224393
34718187,,,,,,,1,,,,,Quinta da Beloura II,True,,colégios de referência,,,,True,lareira; jardim privado; piscina; sótão; aquecimento central,,alto,,,,,,2026-07-16T17:10:57.821675
34225755,,,,,,,1,,,,,,,,TASIS; Carlucci American School,,,,True,piscina privada; chuveiro ao ar livre; barbecue; carport para dois carros; portão automático,,alto,,,,,,2026-07-16T17:11:00.363141
34299320,,,,2,,,4,,Vista para campo de golfe,,,,,,Colégio Salesianos de Manique; Escola Internacional de Lisboa; Kings College,,,,True,piscina; jardim; terraço; escritório; lavandaria,,alto,,,,,,2026-07-16T17:11:02.874582
35169449,,,,,,,,,,,,,,,,,,,,campo de jogos; zona de estadia exterior; estacionamento,alto,alto,,,,,,2026-07-16T17:11:05.294169
34285953,,,,2,,,1,Sul/Este,,,Vidros duplos,,,,American International School of Lisbon; TASIS Portugal,,,,,Alarme; Aquecimento central elétrico; Lareira; Cozinha equipada; Vídeo porteiro; Vidros duplos; Roupeiros; Portão automático; Banheira de Hidromassagem,,,,,,,,2026-07-16T17:11:07.747938
32637357,,,,3,,,,,Serra de Sintra,pedra natural e madeira exótica,,,,,American International School of Lisbon; TASIS (The American School of Switzerland),5 minutos de acessos a Lisboa e Cascais,,5,,Piscina exterior; Piscina interior aquecida; Jacuzzi; Sauna; Banho turco; Campo de futebol sintético; Ginásio; Sala de cinema; Sala de festas; Elevador; Cofre; Lavandaria; Estacionamento para visitas (4 viaturas); T0 para visitas; Bar de piscina,,alto,,,,,,2026-07-16T17:11:11.053630
34978634,,,,3,,,,Sul,Mar e Serra de Sintra,,,,,,American International School of Lisbon; The American School of Switzerland (TASIS),,5.0,10.0,,,,alto,,,,,,2026-07-16T17:11:13.469183
35088846,2021,,,2,,,1,,,,,,,,,,,,,churrasqueira; forno a lenha,,,,,,,,2026-07-16T17:11:15.808202
34270952,,,,2,,,1,,campo e mar,,,,,,American International School of Lisbon; TASIS,"IC19, A16, A5",2,,,jardim relvado; garagem; terraços cobertos; pré-instalação de ar condicionado; estores elétricos; painéis solares; caixilharia em alumínio; capoto; tetos em pladur; cozinha totalmente equipada; pré-instalação para carregamento de carros elétricos; portões automáticos; pérgola; guardas de varandas em vidro,,alto,,,,,,2026-07-16T17:11:19.165931
34648665,,,total,,,,0,,campo,,,,,,American International School of Lisbon; TASIS Portugal (The American School of Switzerland),,,10.0,,,,alto,,,,,,2026-07-16T17:11:21.671630
34487406,,,,3,,,2,,verde,,,Ritz-Carlton Penha Longa,True,,,,10.0,10.0,,segurança 24 horas; acesso controlado; parque natural protegido; jardim privado; casa de apoio; garagem ampla; elevador interno,,alto,,,,,,2026-07-16T17:11:24.250127
34962708,,,,3,,,6,,Vista Serra de Sintra,,Vidros duplos; Janelas oscilo basculantes,,,,Prime School International - Sintra; TASIS Portugal International School; Carlucci American International School of Lisbon,fácil acesso a todas as principais vias para Lisboa e Cascais,10,20,,Aquecimento central; Painéis solares; Zona de lavandaria; Terraço exterior com zona de lazer,,,,,True,,,2026-07-16T17:11:27.030697
35166692,,,,,,,,,Serra de Sintra,,,,,,,,15.0,5.0,,pátio; anexo; churrasqueira,,,,,,,,2026-07-16T17:11:29.312046
34828579,,,,,,,,,"Serra de Sintra, Castelo dos Mouros, Palácio da Pena, Palácio Nacional de Sintra, Quinta da Regaleira",,vidros duplos,,,,colégios internacionais de referência,"acesso rápido a Lisboa, Cascais",,,,ar condicionado; painéis solares; estores elétricos; vidros duplos; alarme; vídeo porteiro; piscina 15x8m; portões automáticos; bomba de calor; aspiração central; rega automática,,alto,,,,,,2026-07-16T17:11:31.848539
34850553,,,,2,,,1,,"vista mar, vista serra, vista cidade",,vidros duplos,,,,American International School of Lisbon; TASIS Portugal,,5.0,10.0,,ar condicionado; painéis solares; estores elétricos; toalheiros elétricos; portões elétricos; vídeo porteiro,,alto,,,,,,2026-07-16T17:11:34.167752
34929471,,,,3,99.15,,3,,"Mar, Vale",,Janelas oscilo batentes com vidros duplos,,,,,A21 e A8,10,15,,Ar condicionado; Painéis solares; Estores eléctricos; Cozinha equipada; Vídeo porteiro; Portões automatizados; Piscina; Jardim,,,,,,,,2026-07-16T17:11:36.736932
34264241,,,,,41.97,,4,poente,mar,,,,True,,CAISL; TASIS; Prime International,,,,True,piscina aquecida; deck em madeira natural; jardim paisagístico; churrasqueira; garagem subterrânea; piso radiante; sistema de climatização inteligente; escritório; zona de arrumos,,alto,,False,,,,2026-07-16T17:11:39.389519
34264236,,,,2,48.88,,4,nascente,vista para jardins e área florestal,,,,True,,CAISL; TASIS; Prime International,,0.6,,True,piscina aquecida; deck em madeira; jardim paisagístico; churrasqueira; garagem subterrânea; 16 lugares de garagem; piso radiante; climatização inteligente; escritório; zona de arrumos,,alto,,,,,,2026-07-16T17:11:42.199856
34264235,,,,2,41.97,,4,poente,mar,,,,True,,CAISL; TASIS; Prime International,,,,True,piscina aquecida; deck em madeira natural; jardim paisagístico; zona de lazer; churrasqueira; piso radiante; sistema de climatização inteligente; garagem subterrânea; arrumos,,alto,,False,,,,2026-07-16T17:11:45.062880
34264190,,,,2,48.88,,4,nascente,jardins e área florestal,,,,True,,CAISL; TASIS; Prime International,,,,True,piscina aquecida; deck em madeira; jardim paisagístico; zona de lazer; churrasqueira; garagem privativa; garagem subterrânea; piso radiante; sistema de climatização inteligente; arrumos; escritório,,alto,,,,,,2026-07-16T17:11:47.954241
34264121,,,,2,41.97,,4,poente,mar,,janelas panorâmicas,,True,,CAISL; TASIS; Prime International,,0.6,42,True,piscina aquecida; deck em madeira natural; jardim paisagístico; zona de lazer; churrasqueira; garagem subterrânea; piso radiante; sistema de climatização inteligente; arrumos,,alto,,,,,,2026-07-16T17:11:50.542222
34264122,,,,,48.88,,4,nascente,jardins e área florestal,,,,True,,CAISL; TASIS; Prime International,,,,True,piscina aquecida; deck em madeira; jardim paisagístico; churrasqueira; piso radiante; sistema de climatização inteligente; garagem subterrânea; arrumos,,alto,,,,,,2026-07-16T17:11:53.104115
33400472,1899,,,,,,32,,,,,,True,,,A16 e A5,10.0,,,,,alto,,,,,True,2026-07-16T17:11:55.491529
34870422,1996,,,,,,,,vista serra,,vidros duplos,,,,,,,,,churrasqueira; painéis solares; sistema fotovoltaico; furo de água; garagem 6 carros; alarme; portão eletrónico com vídeo,,alto,,,,,,2026-07-16T17:11:58.334851
34856168,,,,4,,,1,,bonita vista,,PVC,,,,,,,,True,campo de golf; piscina aquecida; picadeiro; estábulos; canis; jardim; furo de água; painéis fotovoltaicos; painéis solares; escritório; sala de lazer; lareira; aquecimento central,,,,,,,,2026-07-16T17:12:01.008033
30812778,1900,2005,total,2,,,4,,,,,,,,,,,,False,campo de ténis; pequeno ginásio; piscina; anexo de apoio; instalação de painel solar; instalação de painel fotovoltaico,,alto,,,True,,,2026-07-16T17:12:03.506253
32658667,2023,,,2,,,3,sul,Serra de Sintra,,,,,,,,,,,,,alto,,,,,,2026-07-16T17:12:05.634741
34835375,,,total,,,,2,,jardim,,,Villa da Pena,True,,,A16 e CREL,,,,piscina; garagem; sala de cinema; adega; closet; escritório; rooftop; jacuzzi; barbecue,,,,,,,,2026-07-16T17:12:08.114285
34879357,,2025,total,2,,,,,mar,,,,,,Escola Internacional TASIS,bons acessos a Cascais e Lisboa,10,,,,,,,,,,,2026-07-16T17:12:10.340080
35080274,,,,,,,1,,mar,,,,,,,,,,,,,alto,,,,,,2026-07-16T17:12:12.523454
35025402,,,,,,,,,vista de mar ao fundo,,,,,,,,,,,lareira; churrasqueira; forno de lenha; garagem; portões automáticos; jardim,,,,,,,,2026-07-16T17:12:14.883558
34391129,,,,2,,,3,excelente exposição solar,vista para a piscina,,janelas com portadas,,,,CAISL; TASIS; Salesianos de Manique,"A5, IC16, IC19",,,,,,alto,3000.0,True,,,,2026-07-16T17:12:17.315969
35098680,2004,,,2,,,3,,,,oscilo-batente,,,,,,,,,pavimento radiante; ar condicionado; pré-instalação ar condicionado; painéis solares; alarme; som ambiente; pré-instalação aspiração central; janelas com vidros duplos,,alto,,,,,,2026-07-16T17:12:19.884591
35082061,,,,,,,1,,,,,,True,,,próximo a transportes públicos,,,,piscina; espaços verdes; lareira; varandas; dois lugares de garagem; arrumos,,,,,,,,2026-07-16T17:12:21.956484
34633899,,2022,total,3,,,,,,,,Quinta da Beloura,True,,TASIS International School; Carlucci American International School of Lisbon (CAISL),,,,True,campos de golfe; clubes de ténis e padel; ginásios; centros equestres; supermercados; restaurantes; comércio de proximidade,,alto,,,,,,2026-07-16T17:12:24.277595
34771706,2009,,,,,,6,,,,,Quinta da Beloura,True,,Carlucci American International School; TASIS Portugal,,,,True,painéis fotovoltaicos; piscina aquecida; aspiração central; iluminação inteligente; furo de água; sistema de alarme; WiFi; domótica,,,,,,,,2026-07-16T17:12:26.826587
34695474,,,,2,,,4,Nascente/Sul,,,caixilharia de alumínio com corte térmico e vidros de controlo solar,,,,American International School of Lisbon; TASIS (The American School of Switzerland),próximo de acessos a Lisboa e Cascais,2,,,ar condicionado; painel solar; piscina exterior; recuperador de calor; lavandaria; garagem,,alto,,False,,,,2026-07-16T17:12:29.337089
34746659,,,,4,,,1,,,,,,,,Colégio da Beloura; Colégio do Ramalhão; TASIS International School; Carlucci American International School of Lisbon (CAISL),"A16, A5, IC19, 35 minutos do Aeroporto de Lisboa",,,True,ginásio; spa; ténis; padel; Clube Equestre; Alegro Sintra; Hospital CUF Sintra; golf,,alto,,,,,,2026-07-16T17:12:31.983067
34706588,,,,2,,,,,vistas panorâmicas sobre o Atlântico,,,,,,,,,,,piscina; lounge com firepit; pérgola; barbecue fechado com forno a lenha; ginásio; bar de apoio; heliporto; miradouro natural; cottage independente para hóspedes; estruturas agrícolas; vinhas; sistema de irrigação,,alto,,,,,,2026-07-16T17:12:34.381412
32768804,,,,3,,True,1,,"vista para a Serra de Sintra, piscina e jardim",,vidros duplos,,,,,"a 5 minutos das principais vias rápidas para Lisboa e Cascais, a 20 minutos do aeroporto de Lisboa",,,,lareira; piscina; barbecue com forno a lenha; alarme; aspiração central; aquecimento central a gás natural; fibra ótica; vídeo porteiro; portadas; canil,,alto,,,,,,2026-07-16T17:12:37.153229
34933302,,,,2,83.0,,1,"Sul, Poente, Nascente","montanha, jardim, campo",,vidros duplos com corte térmico e acústico,,,,TASIS International School,,20.0,5.0,True,jardim; parqueamento; piscina exterior; terraço/deck; porta blindada; video porteiro; sistema de rega; lareira; eletrodomésticos embutidos; closet; roupeiros; ar condicionado; painéis solares; gás canalizado; sistema de segurança; máquina de lavar louça; frigorífico; micro-ondas; máquina de lavar roupa,,,,,,,,2026-07-16T17:12:40.118705
35044760,,,,3,,,,Sul e Este,vista mar,,,,,,American International School of Lisbon; TASIS Portugal (The American School of Switzerland),,5,,,,,,,,,,,2026-07-16T17:12:42.563976
34886461,2025,,,1,,,3,,mar,,janelas panorâmicas,,,,American International School of Lisbon; TASIS Portugal,"10 minutos dos acessos a Lisboa e Cascais, 30 minutos do aeroporto",2,,,jardim privativo; terraços; barbecue; zona de lazer; garagem / alpendre para vários carros; escritório; cozinha equipada; arrumos/lavandaria,,alto,,,,,,2026-07-16T17:12:45.589413
35122170,,,,3,,,,,"Serra de Sintra, Oceano Atlântico",,,,,,,Lisboa e Aeroporto Humberto Delgado a cerca de 30 minutos,,,,,,alto,,,,,,2026-07-16T17:12:47.681806
34829136,,,,2,,,1,,,,Vidros Duplos,,,,American International School of Lisbon; TASIS Portugal,a 2 minutos das principais vias rápidas para Lisboa e Cascais,25,10,True,Ar Condicionado; Vídeo Porteiro; Portões Automáticos; Fibra Ótica; Estores Elétricos; Rega automática; Piscina; Barbecue; Carport para dois carros,,alto,,,,,,2026-07-16T17:12:50.183118
34737067,2004,,,,,,5,,,soalho,,,,,,,,,,piscina; jardim; biblioteca; escritório; apartamento open space; claraboias,,alto,,,,,,2026-07-16T17:12:52.574597
34755038,,,,2,,,3,,mar,,,,,,American International School of Lisbon; TASIS em Portugal (The American School of Switzerland); Colégio do Ramalhão,30 minutos de Lisboa e do Aeroporto Internacional,1.0,5.0,,piscina; jardim; terraço; estacionamento para três veículos; lavandaria; sistema de rega automática; carregamento para veículos elétricos,,alto,,,,,,2026-07-16T17:12:55.483066
35087973,,,,2,,,1,,vista de mar,granito (zonas sociais) e madeira maciça (restante habitação),,,,,,,7,,,garagem para 5 viaturas; portão automático de entrada; portão automático da garagem; cozinha equipada com electrodomésticos LG; lavandaria independente; cozinha exterior envidraçada com churrasqueira; pré instalação de ar condicionado no primeiro andar; aquecimento central a pellets em toda a casa; lareira ventilada de 10 kW; bomba de calor para aquecimento de águas; painel solar,,alto,,,,,,2026-07-16T17:12:58.352375
34972250,,,,2,,,1,"sul, nascente, poente",vista para a Serra de Sintra,,vidros duplos,,,,escolas,a 10 minutos da estação de comboios de Portela de Sintra,,,,supermercados; escolas; serviços essenciais,,,,,,,,2026-07-16T17:13:00.681923
34850175,,,,3,,,,,vista panorâmica para o Palácio da Pena e o Castelo dos Mouros,,,,,,,,,,,,,,,,,,,2026-07-16T17:13:02.619473
34978078,,,,2,,,4,Nascente/Sul,Vista para a Serra de Sintra e Palácio da Pena,,Caixilharia de alumínio com corte térmico e vidros de controlo solar,,,,American International School of Lisbon; TASIS (The American School of Switzerland),,2.0,,,,,alto,,,,,,2026-07-16T17:13:05.068433
34262862,1920,,,,,,,,"vista desde Lisboa até ao mar, passando pela vista do arvoredo da serra da Sintra",,,,,,Carlucci American International School of Lisbon; TASIS Portugal International School,,20.0,10.0,,,,alto,,,,,True,2026-07-16T17:13:07.364297
33854742,1300,1989,,,,,9,,montanha e mar,,,,,,,,10,,,piscina; capela; jardins; terraços; miradouros; estelas discoides,,,,,True,,True,2026-07-16T17:13:09.564369
34995631,,,,3,,,2,,Vista sobre o Palácio de Sintra e a Serra,,Estores elétricos,Villa da Pena,True,,,Próximo da autoestrada A16/A5,15.0,5.0,True,Rooftop com barbecue e jacuzzi; Jardim; Piscinas aquecidas de água salgada; Zona de barbecue; Sala de cinema; Aquecimento central; Ar condicionado; Painéis solares; Aspiração central; Estores elétricos; Garagem para 3 automóveis; Lavandaria,,alto,,,,,,2026-07-16T17:13:12.386472
34841335,,,,3,7.0,,1,,,,,,,,escolas internacionais,autoestrada A5,,10.0,True,restaurantes; supermercados; serviços,,alto,,,,,,2026-07-16T17:13:14.432532
34933131,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2026-07-16T17:13:16.271931
35084126,,,,2,,,2,excelente exposição solar,,,,,,,TASIS Portugal; Carlucci American International School of Lisbon,IC19 e A16,,,,,,alto,,,,,,2026-07-16T17:13:18.486379
34953901,,,,2,,,,,vista mar,,,,,,Hypha; Prunus School; Colégio Catarina de Bragança,,5,,,cafés; restaurantes; mercado local; supermercado; parque infantil; campo de futebol,,alto,,,,,,2026-07-16T17:13:20.763721
35125331,,,total,2,,,1,,,madeira,PVC,,,,TASIS Portugal; CAISL; St. Julian's School,"Lisboa, Cascais, Aeroporto Humberto Delgado a aproximadamente 20 minutos",2,,,ar condicionado; alarme anti-intrusão; aquecimento com gestão Wi-Fi; rega automática; piscina de água salgada com bomba de calor; barbecue; zona coberta para refeições; garagem; lavandaria; sistema ETICS (capoto),,alto,,False,,,False,2026-07-16T17:13:23.712154
35050931,,,,,,,,sul,vistas abertas,,,,,,escolas internacionais,,,,True,jardim; piscina; garagem; spa; restauração de referência,,alto,,,,,,2026-07-16T17:13:25.890490
35076634,,1990,total,,,,5,,jardim,,,,,,,,10.0,30.0,,lareira; lago com peixes; piscina; ginásio; garagem; estacionamento exterior; casa de apoio à piscina; câmaras de segurança; alarme; internet por fibra; horta biológica,,,,,,,,2026-07-16T17:13:28.530654
35022691,,,total,2,,,1,,,,,,,,Colégio da Beloura; Carlucci American International School; TASIS International School,"A16, A5, IC19, CREL",,,True,piscina; jardim; zona exterior de refeições; estacionamento para 1 carro; escritório; varanda,,alto,,,,,,2026-07-16T17:13:31.006566
